iter	Passed	Remaining
585	2806	1982
586	2812	1978
587	2818	1975
588	2825	1971
589	2831	1967
590	2838	1964
591	2844	1960
592	2850	1956
593	2857	1953
594	2863	1949
595	2869	1945
596	2876	1941
597	2882	1937
598	2888	1933
599	2895	1930
600	2901	1926
601	2907	1922
602	2914	1918
603	2920	1914
604	2927	1911
605	2933	1907
606	2939	1903
607	2947	1900
608	2954	1896
609	2960	1892
610	2967	1889
611	2973	1885
612	2979	1881
613	2985	1876
614	2991	1872
615	2997	1868
616	3004	1864
617	3010	1860
618	3016	1856
619	3022	1852
620	3028	1848
621	3034	1844
622	3048	1844
623	3052	1839
624	3056	1834
625	3060	1828
626	3066	1824
627	3072	1819
628	3078	1815
629	3084	1811
630	3090	1807
631	3096	1803
632	3102	1798
633	3108	1794
634	3115	1790
635	3121	1786
636	3128	1782
637	3134	1778
638	3141	1774
639	3146	1769
640	3152	1765
641	3158	1761
642	3165	1757
643	3170	1752
644	3176	1748
645	3182	1744
646	3189	1739
647	3195	1735
648	3201	1731
649	3208	1727
650	3214	1723
651	3220	1718
652	3226	1714
653	3229	1708
654	3235	1704
655	3241	1699
656	3247	1695
657	3253	1690
658	3259	1686
659	3265	1682
660	3271	1677
661	3276	1673
662	3282	1668
663	3287	1663
664	3292	1658
665	3297	1653
666	3304	1649
667	3311	1645
668	3317	1641
669	3323	1636
670	3330	1632
671	3336	1628
672	3341	1623
673	3347	1619
674	3354	1614
675	3360	1610
676	3366	1606
677	3372	1601
678	3378	1597
679	3384	1592
680	3391	1588
681	3397	1584
682	3403	1579
683	3408	1574
684	3414	1570
685	3421	1565
686	3425	1560
687	3431	1556
688	3437	1551
689	3443	1547
690	3449	1542
691	3455	1537
692	3461	1533
693	3467	1528
694	3473	1524
695	3480	1520
696	3486	1515
697	3492	1511
698	3498	1506
699	3505	1502
700	3511	1497
701	3517	1492
702	3522	1488
703	3526	1482
704	3531	1477
705	3535	1472
706	3539	1466
707	3544	1462
708	3551	1457
709	3556	1452
710	3562	1447
711	3567	1443
712	3573	1438
713	3579	1433
714	3583	1428
715	3588	1423
716	3595	1419
717	3599	1413
718	3605	1409
719	3612	1404
720	3617	1399
721	3623	1395
722	3628	1390
723	3634	1385
724	3638	1380
725	3645	1375
726	3651	1371
727	3658	1366
728	3664	1362
729	3670	1357
730	3677	1353
731	3683	1348
732	3690	1344
733	3696	1339
734	3702	1335
735	3710	1330
736	3717	1326
737	3722	1321
738	3728	1316
739	3734	1312
740	3740	1307
741	3746	1302
742	3752	1297
743	3757	1292
744	3762	1287
745	3767	1282
746	3773	1277
747	3778	1272
748	3784	1268
749	3789	1263
750	3795	1258
751	3801	1253
752	3807	1248
753	3812	1244
754	3817	1238
755	3822	1233
756	3827	1228
757	3832	1223
758	3837	1218
759	3842	1213
760	3848	1208
761	3855	1204
762	3860	1199
763	3866	1194
764	3871	1189
765	3877	1184
766	3883	1179
767	3889	1174
768	3896	1170
769	3902	1165
770	3907	1160
771	3914	1156
772	3919	1151
773	3926	1146
774	3932	1141
775	3938	1136
776	3944	1132
777	3950	1127
778	3956	1122
779	3962	1117
780	3968	1112
781	3974	1108
782	3981	1103
783	3986	1098
784	3991	1093
785	3996	1087
786	4002	1083
787	4008	1078
788	4014	1073
789	4021	1068
790	4027	1064
791	4033	1059
792	4039	1054
793	4046	1049
794	4052	1044
795	4058	1040
796	4065	1035
797	4072	1030
798	4079	1026
799	4085	1021
800	4092	1016
801	4098	1011
802	4104	1006
803	4110	1002
804	4117	997
805	4123	992
806	4129	987
807	4136	982
808	4142	977
809	4148	973
810	4154	968
811	4161	963
812	4167	958
813	4173	953
814	4180	948
815	4186	944
816	4193	939
817	4199	934
818	4205	929
819	4212	924
820	4218	919
821	4225	915
822	4232	910
823	4238	905
824	4244	900
825	4249	895
826	4255	890
827	4260	885
828	4267	880
829	4272	875
830	4278	870
831	4283	864
832	4289	859
833	4295	855
834	4301	849
835	4307	844
836	4313	840
837	4319	835
838	4325	830
839	4331	825
840	4337	820
841	4344	815
842	4350	810
843	4356	805
844	4363	800
845	4369	795
846	4376	790
847	4383	785
848	4390	780
849	4397	775
850	4404	771
851	4411	766
852	4418	761
853	4425	756
854	4431	751
855	4438	746
856	4444	741
857	4450	736
858	4457	731
859	4464	726
860	4469	721
861	4473	716
862	4480	711
863	4486	706
864	4491	701
865	4497	695
866	4503	690
867	4509	685
868	4516	680
869	4522	675
870	4528	670
871	4535	665
872	4542	660
873	4548	655
874	4555	650
875	4562	645
876	4568	640
877	4574	635
878	4581	630
879	4588	625
880	4595	620
881	4602	615
882	4609	610
883	4616	605
884	4622	600
885	4629	595
886	4636	590
887	4642	585
888	4648	580
889	4654	575
890	4661	570
891	4667	565
892	4673	559
893	4679	554
894	4685	549
895	4692	544
896	4699	539
897	4706	534
898	4713	529
899	4720	524
900	4727	519
901	4734	514
902	4741	509
903	4748	504
904	4755	499
905	4761	494
906	4768	488
907	4775	483
908	4781	478
909	4787	473
910	4793	468
911	4800	463
912	4807	458
913	4813	452
914	4820	447
915	4826	442
916	4833	437
917	4839	432
918	4845	427
919	4852	421
920	4859	416
921	4865	411
922	4871	406
923	4878	401
924	4885	396
925	4892	391
926	4900	385
927	4907	380
928	4914	375
929	4921	370
930	4927	365
931	4934	359
932	4940	354
933	4947	349
934	4954	344
935	4961	339
936	4969	334
937	4976	328
938	4982	323
939	4989	318
940	4995	313
941	5002	308
942	5008	302
943	5015	297
944	5021	292
945	5028	287
946	5033	281
947	5038	276
948	5045	271
949	5051	265
950	5057	260
951	5062	255
952	5068	249
953	5073	244
954	5079	239
955	5086	234
956	5093	228
957	5099	223
958	5105	218
959	5113	213
960	5119	207
961	5126	202
962	5132	197
963	5138	191
964	5145	186
965	5151	181
966	5158	176
967	5164	170
968	5171	165
969	5177	160
970	5184	154
971	5190	149
972	5197	144
973	5203	138
974	5209	133
975	5216	128
976	5222	122
977	5228	117
978	5235	112
979	5241	106
980	5247	101
981	5253	96
982	5260	90
983	5266	85
984	5272	80
985	5279	74
986	5285	69
987	5291	64
988	5297	58
989	5303	53
990	5309	48
991	5316	42
992	5321	37
993	5328	32
994	5334	26
995	5339	21
996	5346	16
997	5351	10
998	5358	5
999	5366	0
